epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,3860.22,0.68844,0.45793,0.96591,0.62212,0.61267,0.70025,0.36385,1.31227,0.86007,1.39175,0.000247563,0.000247563,0.000247563
124,3891.41,0.70056,0.43916,0.96745,0.62223,0.75415,0.72099,0.36794,1.32301,0.84583,1.40733,0.000244469,0.000244469,0.000244469
125,3922.35,0.6687,0.43157,0.9465,0.64389,0.77324,0.76572,0.37994,1.34432,0.86751,1.42239,0.000241375,0.000241375,0.000241375
126,3953.45,0.65756,0.43287,0.95565,0.66398,0.77555,0.76779,0.39679,1.32594,0.86324,1.40561,0.000238281,0.000238281,0.000238281
127,3985.16,0.64602,0.42243,0.93598,0.6985,0.78649,0.75802,0.40627,1.33319,0.80328,1.40454,0.000235188,0.000235188,0.000235188
128,4016.73,0.65493,0.43589,0.95103,0.66927,0.7615,0.74904,0.40763,1.29789,0.78476,1.36698,0.000232094,0.000232094,0.000232094
129,4048.14,0.64991,0.43575,0.95698,0.92126,0.6226,0.72483,0.40154,1.30325,0.82891,1.37065,0.000229,0.000229,0.000229
130,4079.53,0.66342,0.43256,0.96051,0.75342,0.62859,0.72214,0.39355,1.33199,0.87427,1.39101,0.000225906,0.000225906,0.000225906
131,4110.89,0.63981,0.42314,0.93719,0.87412,0.63405,0.72928,0.39244,1.34321,0.85768,1.40912,0.000222813,0.000222813,0.000222813
132,4142.25,0.6457,0.42635,0.94461,0.62913,0.75408,0.78202,0.41472,1.2771,0.80097,1.38901,0.000219719,0.000219719,0.000219719
133,4173.49,0.66026,0.43255,0.94683,0.87299,0.69922,0.77262,0.41456,1.28166,0.81421,1.39543,0.000216625,0.000216625,0.000216625
134,4204.76,0.66232,0.43031,0.96131,0.84785,0.70062,0.77535,0.42456,1.28496,0.82045,1.40568,0.000213531,0.000213531,0.000213531
135,4235.91,0.6479,0.43585,0.94062,0.87881,0.61867,0.71902,0.3682,1.36467,0.87138,1.46027,0.000210437,0.000210437,0.000210437
136,4267.51,0.66148,0.42397,0.94325,0.74509,0.63283,0.72013,0.37086,1.3767,0.86452,1.4744,0.000207344,0.000207344,0.000207344
137,4298.97,0.64362,0.41979,0.94788,0.64625,0.77453,0.75954,0.38351,1.3931,0.85139,1.47888,0.00020425,0.00020425,0.00020425
138,4330.11,0.60999,0.40851,0.92498,0.63537,0.76765,0.75976,0.38976,1.35853,0.7923,1.45297,0.000201156,0.000201156,0.000201156
139,4361.43,0.63358,0.41269,0.93688,0.66156,0.77039,0.76375,0.39913,1.31784,0.7504,1.44029,0.000198063,0.000198063,0.000198063
140,4392.58,0.63506,0.41227,0.94763,0.67626,0.77795,0.75831,0.38275,1.37385,0.80812,1.4673,0.000194969,0.000194969,0.000194969
141,4423.64,0.6159,0.40707,0.92653,0.65544,0.74969,0.76113,0.38163,1.36716,0.78243,1.47111,0.000191875,0.000191875,0.000191875
142,4454.92,0.63199,0.4101,0.95439,0.64197,0.75559,0.76106,0.38049,1.36275,0.78406,1.44715,0.000188781,0.000188781,0.000188781
143,4486.11,0.65205,0.42167,0.94385,0.77548,0.62128,0.7317,0.35397,1.38722,0.82702,1.46346,0.000185688,0.000185688,0.000185688
144,4517.23,0.6399,0.42491,0.9515,0.92824,0.64705,0.72905,0.36701,1.37837,0.79526,1.46337,0.000182594,0.000182594,0.000182594
145,4548.53,0.63457,0.41262,0.93889,0.94878,0.66073,0.73237,0.3629,1.34462,0.73545,1.42464,0.0001795,0.0001795,0.0001795
146,4579.64,0.58501,0.40234,0.93474,0.92736,0.65816,0.74956,0.38422,1.33492,0.74061,1.41417,0.000176406,0.000176406,0.000176406
147,4610.68,0.59717,0.40658,0.94064,0.62502,0.70946,0.74006,0.39771,1.33357,0.79928,1.41923,0.000173313,0.000173313,0.000173313
148,4642.08,0.60815,0.39718,0.935,0.59999,0.69343,0.72588,0.39069,1.31743,0.84471,1.41451,0.000170219,0.000170219,0.000170219
149,4673.49,0.61531,0.41019,0.93261,0.68395,0.66781,0.74783,0.38781,1.28258,0.84722,1.39231,0.000167125,0.000167125,0.000167125
150,4705.6,0.62962,0.40703,0.94161,0.87538,0.66273,0.74334,0.36519,1.32505,0.82092,1.40474,0.000164031,0.000164031,0.000164031
151,4737.18,0.59014,0.39048,0.9141,0.6374,0.81835,0.77395,0.41408,1.26938,0.77607,1.38037,0.000160938,0.000160938,0.000160938
152,4768.68,0.59789,0.38797,0.90992,0.60279,0.79046,0.77037,0.40674,1.25298,0.77252,1.37246,0.000157844,0.000157844,0.000157844
153,4800.27,0.60391,0.39827,0.93715,0.64342,0.70449,0.74541,0.40996,1.30121,0.78922,1.39563,0.00015475,0.00015475,0.00015475
154,4831.7,0.58568,0.40323,0.91429,0.92762,0.65921,0.74525,0.40045,1.31732,0.79759,1.40902,0.000151656,0.000151656,0.000151656
155,4862.89,0.62056,0.40263,0.93691,0.94186,0.65956,0.73047,0.37519,1.32976,0.7625,1.40664,0.000148563,0.000148563,0.000148563
156,4894.31,0.63414,0.40859,0.94217,0.95107,0.66078,0.74018,0.39505,1.29295,0.72784,1.40089,0.000145469,0.000145469,0.000145469
157,4926.09,0.61717,0.40054,0.94029,0.94762,0.66132,0.72613,0.37983,1.27954,0.73379,1.40192,0.000142375,0.000142375,0.000142375
158,4957.8,0.58826,0.39877,0.92261,0.94563,0.66054,0.72565,0.37484,1.30085,0.75552,1.41488,0.000139281,0.000139281,0.000139281
159,4989.72,0.60496,0.39156,0.93231,0.94373,0.66012,0.75367,0.39486,1.32292,0.74654,1.43422,0.000136187,0.000136187,0.000136187
160,5021.25,0.59115,0.39371,0.92618,0.93632,0.65984,0.74442,0.38784,1.30676,0.77886,1.42251,0.000133094,0.000133094,0.000133094
161,5052.51,0.57406,0.38663,0.92499,0.92299,0.65892,0.76206,0.39938,1.3531,0.83504,1.45118,0.00013,0.00013,0.00013
162,5083.54,0.56737,0.37144,0.92242,0.91928,0.65877,0.75688,0.38468,1.3379,0.81319,1.43732,0.000126906,0.000126906,0.000126906
163,5114.69,0.59882,0.38835,0.93134,0.94185,0.6586,0.76812,0.38723,1.30691,0.80403,1.41268,0.000123812,0.000123812,0.000123812
164,5145.82,0.56583,0.37211,0.91134,0.94537,0.65833,0.75216,0.38987,1.3475,0.81849,1.43008,0.000120719,0.000120719,0.000120719
165,5177.19,0.56718,0.37682,0.9093,0.94243,0.65833,0.75239,0.39356,1.3332,0.80815,1.42043,0.000117625,0.000117625,0.000117625
166,5208.74,0.55905,0.37493,0.93871,0.94811,0.65945,0.75577,0.39671,1.31138,0.78086,1.40072,0.000114531,0.000114531,0.000114531
167,5239.87,0.5886,0.38956,0.94145,0.94743,0.66114,0.75347,0.3861,1.31637,0.76288,1.39163,0.000111438,0.000111438,0.000111438
168,5271.01,0.58046,0.39341,0.92192,0.93966,0.66128,0.75829,0.38462,1.32506,0.78233,1.40902,0.000108344,0.000108344,0.000108344
169,5302.15,0.56212,0.38024,0.91823,0.9407,0.65833,0.75572,0.38788,1.33404,0.78757,1.4147,0.00010525,0.00010525,0.00010525
170,5333.43,0.5445,0.373,0.91056,0.93433,0.65833,0.75167,0.39551,1.31728,0.80752,1.41072,0.000102156,0.000102156,0.000102156
171,5365.14,0.55273,0.37332,0.91469,0.92407,0.65833,0.73912,0.3853,1.33221,0.83956,1.42616,9.90625e-05,9.90625e-05,9.90625e-05
172,5396.56,0.54572,0.36555,0.90104,0.61024,0.77536,0.75077,0.40531,1.36064,0.84167,1.44575,9.59688e-05,9.59688e-05,9.59688e-05
173,5428.55,0.5562,0.3693,0.90447,0.61767,0.79489,0.75917,0.41316,1.30524,0.83078,1.4293,9.2875e-05,9.2875e-05,9.2875e-05
174,5459.98,0.5391,0.35971,0.89841,0.62268,0.80108,0.76061,0.41199,1.2834,0.82813,1.41499,8.97813e-05,8.97813e-05,8.97813e-05
175,5491.33,0.53004,0.36221,0.9123,0.62079,0.79476,0.76125,0.39478,1.2936,0.80096,1.41063,8.66875e-05,8.66875e-05,8.66875e-05
176,5522.55,0.54209,0.36587,0.9143,0.93753,0.65833,0.74238,0.4017,1.30877,0.79318,1.41347,8.35938e-05,8.35938e-05,8.35938e-05
177,5553.83,0.50883,0.34775,0.8934,0.61832,0.78164,0.75545,0.4093,1.32197,0.80298,1.41696,8.05e-05,8.05e-05,8.05e-05
